N. commuters,N. cycling,% cycling,"Distance (km, Euclidean)"
56536,1612,2.8512805999716995,12.787309941520467
1544,15,0.9715025906735751,14.766666666666666
2547,46,1.8060463290145268,14.7945
56536,2625,4.643006226121409,12.787309941520467
1544,34,2.2312176165803113,14.766666666666666
2547,101,3.9748723989006676,14.7945
56536,2581,4.564649073156927,12.787309941520467
1544,24,1.560880829015544,14.766666666666666
2547,85,3.331762858264625,14.7945
56536,7113,12.58095726616669,12.787309941520467
1544,93,6.014896373056995,14.766666666666666
2547,376,14.768747546132705,14.7945
56536,12301,21.758330974954013,12.787309941520467
1544,199,12.919041450777202,14.766666666666666
2547,608,23.873184138201804,14.7945
